time, x1, x2, x3
1.36,-0.0324564,-0.0228457,0.0348939
1.37,-0.032575,-0.0232169,0.0348936
1.38,-0.0326899,-0.02359,0.0348933
1.39,-0.0328011,-0.023965,0.034893
1.4,-0.0329084,-0.0243419,0.0348926
1.41,-0.0330121,-0.0247206,0.0348923
1.42,-0.0331119,-0.025101,0.0348919
1.43,-0.0332079,-0.0254832,0.0348915
1.44,-0.0333,-0.0258671,0.0348911
1.45,-0.0333883,-0.0262526,0.0348907
1.46,-0.0334728,-0.0266398,0.0348902
1.47,-0.0335533,-0.0270286,0.0348898
1.48,-0.03363,-0.027419,0.0348894
1.49,-0.0337028,-0.0278109,0.034889
1.5,-0.0337716,-0.0282043,0.0348885
1.51,-0.0338364,-0.0285991,0.0348881
1.52,-0.0338973,-0.0289954,0.0348877
1.53,-0.0339543,-0.0293931,0.0348873
1.54,-0.0340072,-0.0297921,0.0348868
1.55,-0.0340562,-0.0301924,0.0348864
1.56,-0.0341011,-0.0305939,0.034886
1.57,-0.034142,-0.0309967,0.0348856
1.58,-0.0341789,-0.0314008,0.0348852
1.59,-0.0342117,-0.0318059,0.0348849
1.6,-0.0342404,-0.0322122,0.0348845
1.61,-0.0342651,-0.0326196,0.0348841
1.62,-0.0342857,-0.033028,0.0348838
1.63,-0.0343022,-0.0334374,0.0348835
1.64,-0.0343147,-0.0338477,0.0348832
1.65,-0.0343229,-0.034259,0.0348829
1.66,-0.0343271,-0.0346712,0.0348826
1.67,-0.0343272,-0.0350843,0.0348823
1.68,-0.0343231,-0.0354981,0.034882
1.69,-0.0343148,-0.0359127,0.0348818
1.7,-0.0343025,-0.036328,0.0348816
1.71,-0.0342859,-0.036744,0.0348814
1.72,-0.0342652,-0.0371607,0.0348812
1.73,-0.0342403,-0.037578,0.034881
1.74,-0.0342113,-0.0379958,0.0348809
1.75,-0.034178,-0.0384142,0.0348807
1.76,-0.0341406,-0.038833,0.0348806
1.77,-0.034099,-0.0392523,0.0348805
1.78,-0.0340532,-0.039672,0.0348804
1.79,-0.0340031,-0.040092,0.0348804
1.8,-0.0339489,-0.0405124,0.0348804
1.81,-0.0338905,-0.0409331,0.0348803
1.82,-0.0338279,-0.0413539,0.0348804
1.83,-0.033761,-0.041775,0.0348804
1.84,-0.03369,-0.0421962,0.0348804
1.85,-0.0336147,-0.0426176,0.0348805
1.86,-0.0335352,-0.043039,0.0348806
1.87,-0.0334515,-0.0434604,0.0348807
1.88,-0.0333636,-0.0438819,0.0348809
1.89,-0.0332715,-0.0443032,0.034881
1.9,-0.0331752,-0.0447245,0.0348812
1.91,-0.0330747,-0.0451456,0.0348814
1.92,-0.0329699,-0.0455665,0.0348817
1.93,-0.032861,-0.0459873,0.0348819
1.94,-0.0327478,-0.0464077,0.0348822
1.95,-0.0326305,-0.0468278,0.0348825
1.96,-0.0325089,-0.0472476,0.0348828
1.97,-0.0323832,-0.047667,0.0348832
1.98,-0.0322532,-0.0480859,0.0348836
1.99,-0.0321191,-0.0485044,0.034884
2,-0.0319808,-0.0489223,0.0348844
2.01,-0.0318384,-0.0493397,0.0348848
2.02,-0.0316917,-0.0497564,0.0348853
2.03,-0.0315409,-0.0501725,0.0348858
2.04,-0.031386,-0.0505879,0.0348863
2.05,-0.0312269,-0.0510026,0.0348869
2.06,-0.0310637,-0.0514165,0.0348874
2.07,-0.0308963,-0.0518295,0.034888
2.08,-0.0307249,-0.0522417,0.0348886
2.09,-0.0305493,-0.0526529,0.0348893
2.1,-0.0303696,-0.0530633,0.0348899
2.11,-0.0301858,-0.0534726,0.0348906
2.12,-0.0299979,-0.0538809,0.0348913
2.13,-0.029806,-0.054288,0.0348921
2.14,-0.02961,-0.0546941,0.0348928
2.15,-0.02941,-0.055099,0.0348936
2.16,-0.0292059,-0.0555027,0.0348944
2.17,-0.0289978,-0.0559051,0.0348953
2.18,-0.0287857,-0.0563063,0.0348961
2.19,-0.0285696,-0.0567061,0.034897
2.2,-0.0283496,-0.0571045,0.0348979
2.21,-0.0281255,-0.0575014,0.0348989
2.22,-0.0278975,-0.057897,0.0348998
2.23,-0.0276656,-0.058291,0.0349008
2.24,-0.0274297,-0.0586834,0.0349018
2.25,-0.02719,-0.0590743,0.0349029
2.26,-0.0269463,-0.0594635,0.0349039
2.27,-0.0266988,-0.0598511,0.034905
2.28,-0.0264474,-0.0602369,0.0349061
2.29,-0.0261922,-0.0606209,0.0349072
2.3,-0.0259331,-0.0610032,0.0349084
2.31,-0.0256703,-0.0613836,0.0349096
2.32,-0.0254036,-0.0617621,0.0349108
2.33,-0.0251332,-0.0621387,0.034912
2.34,-0.0248591,-0.0625133,0.0349133
2.35,-0.0245813,-0.0628859,0.0349145
2.36,-0.0242997,-0.0632565,0.0349158
2.37,-0.0240144,-0.0636249,0.0349172
2.38,-0.0237255,-0.0639912,0.0349185
2.39,-0.023433,-0.0643554,0.0349199
2.4,-0.0231368,-0.0647173,0.0349213
2.41,-0.0228371,-0.065077,0.0349227
2.42,-0.0225338,-0.0654344,0.0349241
2.43,-0.0222269,-0.0657894,0.0349256
2.44,-0.0219165,-0.066142,0.0349271
2.45,-0.0216026,-0.0664923,0.0349286
2.46,-0.0212852,-0.06684,0.0349301
2.47,-0.0209644,-0.0671853,0.0349317
2.48,-0.0206402,-0.0675281,0.0349333
2.49,-0.0203125,-0.0678682,0.0349349
2.5,-0.0199815,-0.0682058,0.0349365
2.51,-0.0196471,-0.0685407,0.0349382
2.52,-0.0193095,-0.0688729,0.0349398
2.53,-0.0189685,-0.0692023,0.0349415
2.54,-0.0186243,-0.069529,0.0349432
2.55,-0.0182768,-0.0698529,0.034945
2.56,-0.0179261,-0.070174,0.0349467
2.57,-0.0175723,-0.0704921,0.0349485
2.58,-0.0172153,-0.0708074,0.0349503
2.59,-0.0168551,-0.0711196,0.0349522
2.6,-0.0164919,-0.0714289,0.034954
2.61,-0.0161256,-0.0717352,0.0349559
2.62,-0.0157563,-0.0720384,0.0349578
2.63,-0.015384,-0.0723385,0.0349597
2.64,-0.0150088,-0.0726354,0.0349616
2.65,-0.0146306,-0.0729292,0.0349636
2.66,-0.0142495,-0.0732197,0.0349655
2.67,-0.0138655,-0.073507,0.0349675
2.68,-0.0134787,-0.073791,0.0349695
2.69,-0.0130891,-0.0740717,0.0349716
2.7,-0.0126967,-0.0743491,0.0349736
2.71,-0.0123016,-0.0746231,0.0349757
2.72,-0.0119038,-0.0748936,0.0349778
2.73,-0.0115033,-0.0751607,0.0349799
2.74,-0.0111002,-0.0754243,0.034982
2.75,-0.0106944,-0.0756844,0.0349842
2.76,-0.0102862,-0.0759409,0.0349863
2.77,-0.00987536,-0.0761939,0.0349885
2.78,-0.00946207,-0.0764432,0.0349907
2.79,-0.00904632,-0.0766889,0.034993
2.8,-0.00862816,-0.0769309,0.0349952
2.81,-0.00820762,-0.0771691,0.0349975
2.82,-0.00778474,-0.0774037,0.0349998
2.83,-0.00735956,-0.0776344,0.0350021
2.84,-0.00693211,-0.0778614,0.0350044
2.85,-0.00650243,-0.0780845,0.0350067
2.86,-0.00607056,-0.0783038,0.0350091
2.87,-0.00563655,-0.0785191,0.0350114
2.88,-0.00520042,-0.0787306,0.0350138
2.89,-0.00476223,-0.0789381,0.0350162
2.9,-0.004322,-0.0791416,0.0350186
2.91,-0.00387978,-0.0793411,0.0350211
2.92,-0.00343561,-0.0795365,0.0350235
2.93,-0.00298953,-0.0797279,0.035026
2.94,-0.00254159,-0.0799152,0.0350284
2.95,-0.00209181,-0.0800984,0.0350309
2.96,-0.00164025,-0.0802774,0.0350335
2.97,-0.00118695,-0.0804523,0.035036
2.98,-0.000731941,-0.080623,0.0350385
2.99,-0.000275273,-0.0807894,0.0350411
3,0.000183012,-0.0809516,0.0350436
3.01,0.000642872,-0.0811096,0.0350462
3.02,0.00110426,-0.0812632,0.0350488
3.03,0.00156715,-0.0814125,0.0350514
3.04,0.00203147,-0.0815575,0.0350541
3.05,0.0024972,-0.0816981,0.0350567
3.06,0.00296429,-0.0818343,0.0350593
3.07,0.00343268,-0.0819662,0.035062
3.08,0.00390235,-0.0820935,0.0350647
3.09,0.00437325,-0.0822165,0.0350674
3.1,0.00484532,-0.0823349,0.0350701
3.11,0.00531853,-0.0824489,0.0350728
3.12,0.00579283,-0.0825584,0.0350755
3.13,0.00626817,-0.0826633,0.0350782
3.14,0.00674451,-0.0827636,0.035081
3.15,0.00722181,-0.0828594,0.0350837
3.16,0.00770001,-0.0829506,0.0350865
3.17,0.00817908,-0.0830372,0.0350893
3.18,0.00865895,-0.0831192,0.0350921
3.19,0.0091396,-0.0831965,0.0350949
3.2,0.00962097,-0.0832692,0.0350977
3.21,0.010103,-0.0833372,0.0351005
3.22,0.0105857,-0.0834005,0.0351033
3.23,0.0110689,-0.0834591,0.0351061
3.24,0.0115527,-0.0835129,0.035109
3.25,0.012037,-0.083562,0.0351118
3.26,0.0125217,-0.0836064,0.0351147
3.27,0.0130068,-0.083646,0.0351175
3.28,0.0134923,-0.0836809,0.0351204
3.29,0.013978,-0.0837109,0.0351233
3.3,0.014464,-0.0837361,0.0351262
3.31,0.0149502,-0.0837566,0.0351291
3.32,0.0154365,-0.0837722,0.035132
3.33,0.015923,-0.0837829,0.0351349
3.34,0.0164095,-0.0837888,0.0351378
3.35,0.016896,-0.0837899,0.0351407
3.36,0.0173825,-0.0837861,0.0351436
3.37,0.0178688,-0.0837774,0.0351465
3.38,0.0183551,-0.0837638,0.0351495
3.39,0.0188411,-0.0837453,0.0351524
3.4,0.0193269,-0.083722,0.0351553
3.41,0.0198124,-0.0836937,0.0351583
3.42,0.0202976,-0.0836605,0.0351612
3.43,0.0207824,-0.0836224,0.0351642
3.44,0.0212667,-0.0835793,0.0351671
3.45,0.0217506,-0.0835313,0.0351701
3.46,0.0222339,-0.0834784,0.035173
3.47,0.0227167,-0.0834206,0.035176
3.48,0.0231988,-0.0833578,0.035179
3.49,0.0236803,-0.08329,0.0351819
3.5,0.024161,-0.0832173,0.0351849
3.51,0.0246409,-0.0831397,0.0351878
3.52,0.02512,-0.0830571,0.0351908
3.53,0.0255982,-0.0829695,0.0351938
3.54,0.0260755,-0.082877,0.0351967
3.55,0.0265518,-0.0827795,0.0351997
3.56,0.0270271,-0.0826771,0.0352027
3.57,0.0275013,-0.0825697,0.0352056
3.58,0.0279743,-0.0824573,0.0352086
3.59,0.0284462,-0.08234,0.0352115
3.6,0.0289169,-0.0822178,0.0352145
3.61,0.0293863,-0.0820906,0.0352175
3.62,0.0298543,-0.0819584,0.0352204
3.63,0.030321,-0.0818213,0.0352234
3.64,0.0307863,-0.0816793,0.0352263
3.65,0.0312501,-0.0815323,0.0352293
3.66,0.0317123,-0.0813804,0.0352322
3.67,0.032173,-0.0812236,0.0352351
3.68,0.0326321,-0.0810618,0.0352381
3.69,0.0330895,-0.0808952,0.035241
3.7,0.0335451,-0.0807236,0.0352439
3.71,0.033999,-0.0805472,0.0352468
3.72,0.0344511,-0.0803658,0.0352497
3.73,0.0349013,-0.0801796,0.0352526
3.74,0.0353496,-0.0799885,0.0352555
3.75,0.035796,-0.0797926,0.0352584
3.76,0.0362403,-0.0795918,0.0352613
3.77,0.0366826,-0.0793861,0.0352642
3.78,0.0371227,-0.0791757,0.0352671
3.79,0.0375607,-0.0789604,0.0352699
3.8,0.0379965,-0.0787403,0.0352728
3.81,0.0384301,-0.0785154,0.0352756
3.82,0.0388613,-0.0782858,0.0352785
3.83,0.0392902,-0.0780514,0.0352813
3.84,0.0397167,-0.0778122,0.0352841
3.85,0.0401407,-0.0775683,0.035287
3.86,0.0405623,-0.0773196,0.0352898
3.87,0.0409813,-0.0770663,0.0352925
3.88,0.0413978,-0.0768083,0.0352953
3.89,0.0418116,-0.0765456,0.0352981
3.9,0.0422227,-0.0762782,0.0353009
3.91,0.0426311,-0.0760063,0.0353036
3.92,0.0430367,-0.0757297,0.0353064
3.93,0.0434396,-0.0754484,0.0353091
3.94,0.0438395,-0.0751627,0.0353118
3.95,0.0442366,-0.0748723,0.0353145
3.96,0.0446307,-0.0745774,0.0353172
3.97,0.0450217,-0.074278,0.0353199
3.98,0.0454098,-0.0739741,0.0353225
3.99,0.0457948,-0.0736657,0.0353252
4,0.0461766,-0.0733529,0.0353278
4.01,0.0465553,-0.0730356,0.0353304
4.02,0.0469307,-0.0727139,0.035333
4.03,0.0473029,-0.0723879,0.0353356
4.04,0.0476717,-0.0720574,0.0353382
4.05,0.0480372,-0.0717227,0.0353408
4.06,0.0483993,-0.0713836,0.0353433
4.07,0.048758,-0.0710402,0.0353458
4.08,0.0491132,-0.0706926,0.0353484
4.09,0.0494649,-0.0703407,0.0353508
4.1,0.049813,-0.0699847,0.0353533
4.11,0.0501575,-0.0696244,0.0353558
4.12,0.0504984,-0.06926,0.0353582
4.13,0.0508355,-0.0688915,0.0353607
4.14,0.051169,-0.0685189,0.0353631
4.15,0.0514986,-0.0681422,0.0353655
4.16,0.0518245,-0.0677615,0.0353678
4.17,0.0521465,-0.0673768,0.0353702
4.18,0.0524646,-0.0669881,0.0353725
4.19,0.0527788,-0.0665955,0.0353748
4.2,0.053089,-0.0661989,0.0353771
4.21,0.0533952,-0.0657985,0.0353794
4.22,0.0536974,-0.0653942,0.0353817
4.23,0.0539954,-0.0649861,0.0353839
4.24,0.0542894,-0.0645743,0.0353861
4.25,0.0545792,-0.0641586,0.0353883
4.26,0.0548648,-0.0637393,0.0353905
4.27,0.0551462,-0.0633163,0.0353926
4.28,0.0554233,-0.0628897,0.0353947
4.29,0.055696,-0.0624594,0.0353969
4.3,0.0559645,-0.0620256,0.0353989
4.31,0.0562286,-0.0615882,0.035401
4.32,0.0564882,-0.0611474,0.035403
4.33,0.0567434,-0.0607031,0.035405
4.34,0.0569942,-0.0602553,0.035407
4.35,0.0572404,-0.0598042,0.035409
4.36,0.0574821,-0.0593498,0.0354109
4.37,0.0577192,-0.058892,0.0354129
4.38,0.0579516,-0.058431,0.0354148
4.39,0.0581795,-0.0579667,0.0354166
4.4,0.0584026,-0.0574993,0.0354185
4.41,0.0586211,-0.0570287,0.0354203
4.42,0.0588348,-0.056555,0.0354221
4.43,0.0590437,-0.0560782,0.0354239
4.44,0.0592479,-0.0555984,0.0354256
4.45,0.0594472,-0.0551157,0.0354273
4.46,0.0596416,-0.05463,0.035429
4.47,0.0598312,-0.0541414,0.0354307
4.48,0.0600158,-0.0536499,0.0354323
4.49,0.0601955,-0.0531557,0.0354339
4.5,0.0603703,-0.0526586,0.0354355
4.51,0.06054,-0.0521589,0.0354371
4.52,0.0607047,-0.0516565,0.0354386
4.53,0.0608643,-0.0511514,0.0354401
4.54,0.0610189,-0.0506438,0.0354416
4.55,0.0611684,-0.0501337,0.035443
4.56,0.0613127,-0.049621,0.0354444
4.57,0.0614519,-0.0491059,0.0354458
